Program	Sku/ProductFamily	Countries/Region	VPID	Month
YETI	257G4B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	257G4B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	257G4B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	22A61D	"AU,NZ"	ANZ_VP	6
YETI	22A62D	"AU,NZ"	ANZ_VP	6
YETI	22A63D	"AU,NZ"	ANZ_VP	6
YETI	1G5M0A	"US,PR,CA"	NA_VP	6
YETI	1G5M0A	"US,PR,CA"	NA_VP	6
YETI	1G5M1A	"US,PR,CA"	NA_VP	6
YETI	1G5M2A	"US,PR,CA"	NA_VP	6
YETI	226Y9A	"US,PR,CA"	NA_VP	6
YETI	256X4A	"US,PR,CA"	NA_VP	6
YETI	226Y0B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	226Y0B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	226Y0B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	226Y1B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	226Y1B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	226Y1B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	226Y8B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	226Y4B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	226Y4B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	226Y4B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	256X5B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	256X5B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	256X5B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	226Y5B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	256X6B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	226Y2D	"AU,NZ"	ANZ_VP	6
YETI	226Y3D	"AU,NZ"	ANZ_VP	6
YETI	223N1A	"US,PR,CA"	NA_VP	6
YETI	223N1A	"US,PR,CA"	NA_VP	6
YETI	223N2A	"US,PR,CA"	NA_VP	6
YETI	223N2A	"US,PR,CA"	NA_VP	6
YETI	223N9A	"US,PR,CA"	NA_VP	6
YETI	223N4A	"US,PR,CA"	NA_VP	6
YETI	223N4A	"US,PR,CA"	NA_VP	6
YETI	223N5A	"US,PR,CA"	NA_VP	6
YETI	223N5A	"US,PR,CA"	NA_VP	6
YETI	223P0A	"US,PR,CA"	NA_VP	6
YETI	223P0A	"US,PR,CA"	NA_VP	6
YETI	2K4U7A	"US,PR,CA"	NA_VP	6
YETI	2K4U8A	"US,PR,CA"	NA_VP	6
YETI	2K4U9A	"US,PR,CA"	NA_VP	6
YETI	2K4V0A	"US,PR,CA"	NA_VP	6
YETI	2K4V1A	"US,PR,CA"	NA_VP	6
YETI	2K4V2A	"US,PR,CA"	NA_VP	6
YETI	2K4V3A	"US,PR,CA"	NA_VP	6
YETI	2K4V5A	"US,PR,CA"	NA_VP	6
YETI	2K4V6A	"US,PR,CA"	NA_VP	6
YETI	2K4V7A	"US,PR,CA"	NA_VP	6
YETI	223N4B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	223N4B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	223N4B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	223N5B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	223N5B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	223N5B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	223N1B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	2K4U7B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	2K4U7B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	2K4U7B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
